"","age.resp","books.per.year"
"1311",55,50
"1312",66,35
"1313",69,25
"1314",44,50
"1315",29,14
"1316",50,25
"1317",62,40
"1318",42,25
"1319",73,60
"1320",54,100
"1321",49,30
"1322",54,7
"1323",61,25
"1324",75,25
"1325",58,50
"1326",25,20
"1327",38,30
"1328",39,40
"1329",33,40
"1330",68,4
"1331",65,5
"1332",76,35
"1333",22,35
"1334",23,30
"1335",61,30
"1336",75,7
"1337",57,130
"1338",37,6
"1339",66,16
"1340",27,25
"1341",29,60
"1342",53,100
"1343",43,50
"1344",55,10
"1345",64,8
"1346",61,5
"1347",52,10
"1348",55,25
"1349",48,25
"1350",52,200
"1351",49,12
"1352",56,4
"1353",68,15
"1354",67,75
"1355",50,40
"1356",46,6
"1357",52,20
"1358",37,12
"1359",60,20
"1360",70,50
"1361",67,300
"1362",60,60
"1363",27,5
"1364",46,30
"1365",25,12
"1366",51,35
"1367",69,52
"1368",21,30
"1369",32,15
"1370",55,35
"1371",61,50
"1372",71,10
"1373",61,100
"1374",39,50
"1375",61,10
"1376",26,8
"1377",57,90
"1378",61,10
"1379",49,40
"1380",23,40
"1381",30,30
"1382",27,45
"1383",58,45
"1384",64,20
"1385",58,140
"1386",30,25
"1387",51,100
"1388",62,30
"1389",61,10
"1390",28,10
"1391",69,10
"1392",61,30
"1393",33,3
"1394",61,10
"1395",70,150
"1396",66,40
"1397",76,40
"1398",51,25
"1399",38,25
"1400",64,150
"1401",57,40
"1402",67,100
"1403",63,40
"1404",56,25
"1405",67,50
"1406",63,25
"1407",69,60
"1408",31,9
"1409",52,3
"1410",46,100
"1411",66,5
"1412",65,75
"1413",54,25
"1414",67,35
"1415",55,20
"1416",68,30
"1417",53,50
"1418",59,40
"1419",64,125
"1420",63,15
"1421",72,30
"1422",75,200
"1423",26,12
"1424",74,90
"1425",64,60
"1426",61,30
"1427",59,20
"1428",46,30
"1429",50,40
"1430",34,25
"1431",56,40
"1432",25,12
"1433",64,10
"1434",63,52
"1435",46,80
"1436",32,20
"1437",59,15
"1438",47,70
"1439",23,30
"1440",66,50
"1441",70,10
"1442",28,24
"1443",69,12
"1444",20,20
"1445",64,12
"1446",53,50
"1447",61,10
"1448",57,30
"1449",38,60
"1450",65,24
"1451",80,15
"1452",53,15
"1453",53,23
"1454",62,18
"1455",41,15
"1456",67,35
"1457",72,60
"1458",67,50
"1459",67,40
"1460",23,24
"1461",68,35
"1462",68,11
"1463",65,30
"1464",58,24
"1465",61,80
"1466",55,40
"1467",74,100
"1468",68,30
"1469",54,10
"1470",57,25
"1471",66,10
"1472",66,60
"1473",46,10
"1474",71,20
"1475",35,50
"1476",70,12
"1477",26,25
"1478",18,50
"1479",73,25
"1480",48,12
"1481",70,75
"1482",39,50
"1483",42,60
"1484",80,15
"1485",32,125
"1486",72,5
"1487",21,4
"1488",22,50
"1489",45,50
"1490",58,12
"1491",39,6
"1492",50,50
"1493",56,3
"1494",41,60
"1495",63,40
"1496",58,20
"1497",29,30
"1498",82,6
"1499",59,20
"1500",61,15
"1501",64,20
"1502",46,55
"1503",44,20
"1504",44,25
"1505",31,50
"1506",26,30
"1507",63,15
"1508",35,150
"1509",48,110
"1510",16,150
"1511",50,30
"1512",62,80
"1513",52,12
"1514",57,25
"1515",60,15
"1516",62,15
"1517",66,20
"1518",67,15
"1519",25,30
"1520",58,40
"1521",59,20
"1522",73,30
"1523",27,3
"1524",39,30
"1525",53,12
"1526",64,100
"1527",62,40
"1528",56,75
"1529",52,30
"1530",53,50
"1531",59,25
"1532",66,5
"1533",73,70
"1534",50,75
"1535",37,2
"1536",59,52
"1537",57,40
"1538",29,30
"1539",30,15
"1540",65,6
"1541",75,25
"1542",49,20
"1543",62,6
"1544",44,25
"1545",46,15
"1546",70,50
"1547",24,6
"1548",21,25
"1549",59,30
"1550",56,10
"1551",53,70
"1552",60,60
"1553",67,15
"1555",39,60
"1556",65,75
"1557",27,50
"1558",20,20
"1559",18,3
"1560",43,60
"1561",49,40
"1562",48,160
"1563",49,14
"1564",53,100
"1565",56,35
"1566",40,20
"1567",65,120
"1568",56,25
"1569",28,20
"1570",65,25
"1571",70,35
"1572",54,10
"1573",66,15
"1574",41,25
"1575",68,3
"1576",55,50
"1577",38,10
"1578",62,12
"1579",29,10
"1580",62,52
"1581",26,75
"1582",83,15
"1583",19,25
"1584",54,10
"1585",66,50
"1586",61,75
"1587",46,15
"1588",57,4
"1589",38,10
"1590",55,50
"1591",57,15
"1592",55,40
"1593",67,45
"1594",69,100
"1595",52,60
"1596",66,100
"1597",52,20
"1598",57,30
"1599",37,10
"1600",66,65
"1601",47,60
"1602",57,50
"1603",22,12
"1604",68,20
"1605",49,25
"1606",75,40
"1607",29,24
"1608",53,35
"1609",60,25
"1610",54,20
"1611",56,30
"1612",50,25
"1613",57,45
"1614",38,10
"1615",55,12
"1616",67,30
"1617",63,65
"1618",70,20
"1619",65,30
"1620",55,60
"1621",70,200
"1622",75,20
"1623",56,40
"1624",58,2
"1625",36,52
"1626",53,20
"1627",69,20
"1628",45,320
"1629",66,25
"1630",21,8
"1631",66,100
"1632",19,20
"1633",75,8
"1634",74,120
"1635",50,12
"1636",53,50
"1637",68,100
"1638",68,50
"1639",20,8
"1640",61,50
"1641",73,20
"1642",73,100
"1643",31,30
"1644",53,30
"1645",59,10
"1646",35,40
"1647",55,30
"1648",59,26
"1649",64,50
"1650",70,6
"1651",59,60
"1652",65,125
"1653",57,5
"1654",58,10
"1655",66,30
"1656",64,20
"1657",68,52
"1658",68,15
"1659",65,30
"1660",51,30
"1661",67,5
"1662",53,24
"1663",62,25
"1664",63,10
"1665",65,12
"1666",35,8
"1667",45,9
"1668",57,20
"1669",65,60
"1670",74,10
"1671",63,20
"1672",74,10
