"","Fiction","Other","Romantic","Suspense"
"817",26,4,4,4
"818",12,1,0,7
"819",4,0,0,0
"820",15,5,0,15
"821",6,1,0,1
"822",30,5,10,41
"823",6,4,0,14
"824",13,1,0,1
"825",6,1,0,0
"826",12,1,1,24
"827",6,1,9,22
"829",4,0,0,2
"830",28,2,0,27
"831",30,2,0,1
"832",4,0,0,6
"833",5,7,0,30
"834",6,0,0,0
"835",7,1,0,3
"837",32,1,1,10
"838",43,4,2,15
"839",5,0,0,0
"840",17,0,0,3
"841",49,3,0,10
"842",3,0,0,1
"843",5,1,0,0
"844",7,1,1,0
"846",35,3,0,3
"848",10,2,2,8
"849",3,2,1,0
"850",25,0,0,14
"851",5,0,0,0
"852",13,1,0,7
"853",1,1,0,0
"854",56,2,0,19
"855",31,1,0,6
"856",2,1,0,0
"858",17,0,0,18
"860",2,0,0,20
"861",10,0,0,2
"862",16,0,0,7
"863",32,1,1,13
"864",62,3,6,81
"865",19,1,2,54
"866",2,1,0,0
"867",4,1,0,0
"868",10,4,0,19
"869",14,2,0,0
"870",22,1,0,3
"871",22,0,0,10
"872",39,1,5,8
"873",3,0,4,6
"874",5,0,0,6
"875",4,1,0,3
"876",9,3,0,0
"877",2,0,0,0
"878",16,0,0,9
"879",18,0,0,1
"880",14,0,0,0
"881",28,3,0,11
"882",4,0,0,2
"883",8,1,3,7
"884",12,0,0,1
"885",11,3,0,6
"886",8,1,0,0
"887",28,2,0,0
"888",8,6,0,2
"889",26,0,1,0
"890",10,0,0,2
"891",31,0,1,3
"893",20,3,0,4
"894",0,2,0,1
"896",11,0,1,4
"897",3,2,0,0
"898",21,0,0,3
"899",11,2,0,19
"900",67,9,6,45
"901",31,4,0,25
"902",3,1,0,3
"903",34,4,13,73
"904",27,6,0,51
"905",22,1,4,0
"906",14,1,0,21
"907",7,0,0,7
"908",20,0,0,13
"909",32,3,12,34
"910",7,3,0,5
"911",6,2,3,0
"912",11,1,0,0
"913",9,4,1,17
"914",40,2,0,5
"916",24,3,0,10
"918",5,4,8,8
"919",1,4,0,2
"920",32,2,0,0
"921",57,9,0,44
"922",3,3,0,4
